Date,Argentina,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Philippines,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,USA
1992-05-29,0.08505,0.01375,0.0351,0.02516,-0.00991,0.00311,,0.12287,0.05204,0.04095,0.0619,-0.11845,0.14216,,0.09526,-0.03517,,0.01721,0.07928,-0.10443,0.01207,0.03991,0.07192,0.05813,0.14307,0.03092,0.02615,0.09619,0.06041,0.07441,0.00633,-0.06563,-0.1412,0.05397,0.00159
1992-06-30,-0.24838,-0.03604,0.01594,0.01258,-0.32241,0.00124,,-0.05163,-0.05748,-0.01564,0.016,0.10583,0.01126,,0.01353,-0.00727,,-0.03473,-0.09211,0.02277,-0.16736,0.00622,-0.02309,-0.07585,0.14411,0.02716,-0.01122,-0.06595,-0.03588,0.03082,0.00302,0.08039,0.27733,-0.04091,-0.01777
1992-07-31,-0.15251,-0.02516,-0.09775,0.02387,0.11339,0.02054,,-0.00505,-0.07536,-0.0433,-0.0562,-0.04417,-0.04777,,0.00621,-0.01473,,-0.08292,-0.01218,-0.07293,0.01148,-0.00093,0.00219,-0.0296,-0.01114,-0.0056,0.0014,-0.07908,-0.02862,0.01693,-0.09338,-0.01469,-0.0433,-0.04073,0.03915
1992-08-31,-0.18303,-0.08101,-0.02533,-0.03327,-0.02678,-0.0238,,-0.07379,-0.13935,0.00764,-0.00232,-0.01996,-0.04773,,-0.07461,-0.00254,,0.00621,0.17638,0.07954,-0.06596,0.02369,-0.06712,-0.12091,-0.0181,0.00765,-0.03956,-0.03637,-0.06222,0.02018,-0.06015,0.021,-0.03315,-0.00588,-0.02643
1992-09-30,-0.08848,-0.0449,0.06195,0.03545,0.0824,-0.07588,,-0.05749,-0.0734,0.03001,-0.0405,-0.14666,-0.01014,,-0.01094,-0.08915,,-0.18908,-0.02465,-0.0989,-0.04668,0.01893,-0.04171,-0.04068,-0.00932,-0.06323,0.01924,-0.12747,-0.11324,0.07899,-0.06236,0.12861,-0.02307,-0.02105,0.00833
1992-10-30,-0.07815,-0.06345,-0.05744,-0.05918,-0.12025,0.02288,,-0.09269,0.16784,-0.08434,-0.07108,-0.16613,0.12371,,0.01364,-0.10116,,0.17133,-0.04711,0.16424,0.18487,-0.09876,-0.07943,-0.05735,-0.00991,-0.13975,0.02375,-0.06263,-0.09193,-0.09173,0.01621,0.10677,-0.16672,-0.08263,0.00357
1992-11-30,-0.0829,0.00485,-0.064,-0.02129,-0.12365,-0.04704,,-0.00691,0.08607,-0.01833,-0.00789,0.01515,-0.07781,,-0.10317,0.0304,,-0.06069,0.02514,0.08594,0.08032,-0.02003,0.13752,-0.00082,-0.07857,-0.0401,0.03058,0.05824,0.13857,-0.04275,0.0139,-0.05443,-0.0244,0.00976,0.03074
1992-12-31,0.23927,0.09072,0.02516,-0.01456,0.1445,0.02413,,-0.00855,-0.05401,0.02421,-0.01762,0.01067,-0.0593,,-0.05261,-0.00329,,-0.01852,-0.01546,0.03652,0.02915,0.00858,0.00014,-0.01459,0.01445,-0.01252,-0.00481,0.00301,-0.02289,0.06715,-0.08661,0.01957,0.00492,0.03936,0.00859
1993-01-29,0.01222,-0.03407,-0.00977,0.04987,-0.02637,-0.02129,-0.0112,0.13215,-0.01493,-0.0272,0.03108,0.10152,0.03933,-0.02051,0.02264,0.05476,0.04133,0.0899,-0.00395,-0.01324,-0.05613,0.01946,-0.01951,0.04006,0.02466,0.0621,0.01649,0.08287,-0.04723,-0.01141,-0.02689,0.12102,0.05406,-0.02455,0.00642
1993-02-26,-0.05943,0.07451,0.05621,-0.00024,0.19416,0.05353,0.10048,-0.0458,0.02539,0.08537,0.05,0.08094,0.0997,0.0245,0.08022,-0.02595,-0.04784,0.00818,0.04257,-0.06888,-0.05888,0.02901,0.07116,-0.00632,0.12671,0.05284,0.0161,-0.01148,0.03566,-0.01102,0.31968,-0.01516,0.3018,-0.02704,0.01078
